rsuIP,ode_timeStamp,sequenceNumber,MsgCount,RoadRegulatorID,IntersectionID,TemporaryID,entityID,RequestID,LaneID,ApproachID,LaneConnectionID,status
10.11.81.22,2022-10-27 12:51:39.294872,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:40.323809,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:41.299232,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:42.309040,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:43.306710,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:44.298262,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:45.303913,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:46.303148,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:47.308013,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:48.304285,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:49.299733,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:50.298521,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:51.294916,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:52.295249,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:53.297372,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:54.305746,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:55.300420,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:56.305927,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:57.305941,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:58.316051,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:59.296009,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:51:59.428861,,0,,12111,,1780166822,8,2,,,granted
10.11.81.22,2022-10-27 12:52:00.307909,,0,,12110,,1780166822,7,9,,,granted
10.11.81.22,2022-10-27 12:52:00.423822,,0,,12111,,1780166822,8,2,,,granted
10.11.81.22,2022-10-27 12:52:01.430930,,0,,12111,,1780166822,8,2,,,granted
10.11.81.22,2022-10-27 12:52:02.424069,,0,,12111,,1780166822,8,2,,,granted
10.11.81.22,2022-10-27 12:52:03.426538,,0,,12111,,1780166822,8,2,,,granted
10.11.81.22,2022-10-27 12:52:04.437417,,0,,12111,,1780166822,8,2,,,granted
10.11.81.22,2022-10-27 12:52:05.432403,,0,,12111,,1780166822,8,2,,,granted
10.11.81.22,2022-10-27 12:52:06.429308,,0,,12111,,1780166822,8,2,,,granted
10.11.81.22,2022-10-27 12:52:07.432070,,0,,12111,,1780166822,8,2,,,granted
10.11.81.22,2022-10-27 12:52:08.428959,,0,,12111,,1780166822,8,2,,,granted
